transcript_id,creation_time,date,username,line,role,Priming - G,Eliciting - G,Probing - G,Evaluating - G,Telling - G,NA - G,Yes/no question - G,Argumentation words - G,Connection to bigger picture - G,You focused question - G,Funneling - G,"Press for reasoning (G, S) - G","Revoicing (R, RP) - G",comments - G,Priming - GP,Eliciting - GP,Probing - GP,Evaluating - GP,Telling - GP,NA - GP,Yes/no question - GP,Argumentation words - GP,Connection to bigger picture - GP,You focused question - GP,Funneling - GP,"Press for reasoning (G, S) - GP","Revoicing (R, RP) - GP",comments - GP
2139,2021-02-02 18:42:52.448207+00:00,2/2/21,104," Great! no matter what form that paper was in, they all weighed the same! when conducting the water bottle experiment, what did you notice about the water after it froze?",Teacher,,1,,1,,,,,,1,,S,RP,,,1,,1,1,,,,,1,,,R,water experiment is different from paper - so it cannot be press for reasoning since the teacher is eliciting the other experiment
2139,2021-02-02 18:43:39.361016+00:00,2/2/21,114,I saw that it weighed 390.5 grams unfrozen and frozen,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:44:13.276952+00:00,2/2/21,104," since they both weighed the same based off of your results, what would you conclude about the water bottles matter?",Teacher,,,1,,,,,,,1,1,S,RP,codebook example: funneling,,,1,,,,,,,1,1,S,RP,
2139,2021-02-02 18:44:27.487973+00:00,2/2/21,114,the amount of matter is the same!,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:44:59.953065+00:00,2/2/21,104," based off the two experiements, what might you say about the conservation of matter with any object?",Teacher,,,1,,,,,,1,1,,S,,,,,1,,,,,,1,1,,S,,
2139,2021-02-02 18:45:33.679836+00:00,2/2/21,114," whatever it changes to, as long as it weighs the same, the matter is conserved",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:45:55.562834+00:00,2/2/21,104,Thats great! can you give me some evidence as to why you think that?,Teacher,,,1,1,,,,1,,1,,G,,,,,1,1,,,,1,,1,,G,,
2139,2021-02-02 18:46:03.688814+00:00,2/2/21,104,think about our experiments,Teacher,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
2139,2021-02-02 18:46:13.750221+00:00,2/2/21,114,the paper was changed into three different forms,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:46:24.344110+00:00,2/2/21,114,and each one weighed 4.6 grams,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2146,2021-02-02 18:40:22.848362+00:00,2/2/21,108," Thinking about our results from the Changing Paper and Freezing water investigation, do you believe that the amount of matter was conserved or changed?",Teacher,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,
2146,2021-02-02 18:40:54.383435+00:00,2/2/21,118,I think the weight stayed the same in the experiments,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2146,2021-02-02 18:41:42.443334+00:00,2/2/21,108," Yes, the weight did stay they same. Does that mean that the matter stayed the same?",Teacher,,,1,1,,,1,,,,,S,,,,,1,,1,,1,,,,,S,,
2146,2021-02-02 18:41:56.629355+00:00,2/2/21,118,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2146,2021-02-02 18:42:26.183141+00:00,2/2/21,108,What evidence do you have from our investigations that tell you that matter is conserved?,Teacher,,,1,,,,,1,,1,,G,,,,,1,,,,,,,1,,G,,
2146,2021-02-02 18:43:48.066944+00:00,2/2/21,118," The paper was 4.6 grams when it was flat, crumpled, and torn to pieces. The water and ice in the Freezing Water experiment weighed the same, so matter was conserved",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2146,2021-02-02 18:45:17.778976+00:00,2/2/21,108,Yes! Great supporting evidence. Do you think matter is conserved for things besides paper and water?,Teacher,,,1,1,,,1,,1,1,,S,,,,,1,1,,,,,1,1,,G,,
2146,2021-02-02 18:45:41.946217+00:00,2/2/21,118,yes it is,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2146,2021-02-02 18:46:02.432643+00:00,2/2/21,108," I agree! Great job, Dana!",Teacher,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,
2146,2021-02-02 18:46:11.783112+00:00,2/2/21,118,Thank you Ms. Husemann,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:39:21.026724+00:00,2/2/21,102," Ok, so what did you do to the paper  to change it",Teacher,,1,,,,,,,,1,,,,no priming or mention of subject whatsoever...,,1,,,,,,,,1,,,,
2149,2021-02-02 18:39:34.316721+00:00,2/2/21,112,crumpled and ripped it,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:39:50.836816+00:00,2/2/21,102,what differences did you notice happened to the paper when you crumpled it?,Teacher,,,1,,,,,,,1,,S,,,,,,1,,,,,,1,,G,,
2149,2021-02-02 18:40:19.328868+00:00,2/2/21,112,none paper is paper,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:40:35.386449+00:00,2/2/21,102,Did it take up the same amount of space?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2149,2021-02-02 18:40:54.886903+00:00,2/2/21,112,I didn't think about that,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:40:59.510441+00:00,2/2/21,102," Hmm, ok",Teacher,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
2149,2021-02-02 18:41:26.171579+00:00,2/2/21,102," so, what about when we ripped up the paper. did anything about it change?",Teacher,,,1,,,,1,,,,,S,,,,,1,,,,,,,,,S,,
2149,2021-02-02 18:41:40.241343+00:00,2/2/21,112,the shape,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:42:06.592312+00:00,2/2/21,102,Did the amount of paper we had change? or just the shape?,Teacher,,,1,,,,,,,,,S,,,,,1,,,,,,,,,S,,
2149,2021-02-02 18:42:32.153872+00:00,2/2/21,112,it weighed the same no matter  what,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:43:14.846517+00:00,2/2/21,102," ok, so you're syaing that even though we did things to the paper that changed it's shape, that it still was the same paper and the amount of it didn't change?",Teacher,,,1,,,,,,,1,1,S,R,,,,1,,,,1,,,1,,S,RP,
2149,2021-02-02 18:43:57.049110+00:00,2/2/21,112,yes the paper weighed the same no matter what happened to it,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:44:01.323572+00:00,2/2/21,102," What about the water, what differences did you notice between when we put it in the containers, and when we took them out of the freezer?",Teacher,,1,,,,,,,,1,,,,,,1,1,,,,,1,,1,,S,,
2149,2021-02-02 18:44:33.471691+00:00,2/2/21,112,the volume changed,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:44:39.550281+00:00,2/2/21,112,the water level increased,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:44:42.249921+00:00,2/2/21,102,How do you know?,Teacher,,,1,,,,,,,,,G,,,,,1,,,,,1,,1,,G,,asking for evidence
2149,2021-02-02 18:45:12.609335+00:00,2/2/21,112,the water level increased after it came out of the fridge,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2149,2021-02-02 18:45:46.250527+00:00,2/2/21,102," So, do you think there is the same amount of wter as before? Or has the amount of water changed?",Teacher,,,1,,,,,,,,,S,,,,,1,,,,,,,1,,S,,
2149,2021-02-02 18:46:02.626119+00:00,2/2/21,112,yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 18:59:54.503658+00:00,2/2/21,112,What did you notice about the paper?,Teacher,,1,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,
2153,2021-02-02 19:00:10.651517+00:00,2/2/21,102,the crumpled paper takes up more space,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:00:41.928865+00:00,2/2/21,112,Did anything else change about the paper?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,,,
2153,2021-02-02 19:00:50.712906+00:00,2/2/21,102,when we ripped it it was smaller,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:01:14.388517+00:00,2/2/21,112,So the size changed. Did the weight change when the size did?,Teacher,,,1,,,,1,,,,,S,R,not RP because the revoicing and press for reasoning occur in different sentences. RP if a single sentence is revoicing and press for reasoning,,,1,,,,,,,,,S,RP,
2153,2021-02-02 19:02:12.879873+00:00,2/2/21,112,Ok! So did the amount of paper change  when the size did?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,,,,,,S,,
2153,2021-02-02 19:02:27.659909+00:00,2/2/21,102,I think there was less paper when we ripped it,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:02:31.819764+00:00,2/2/21,102,it was smaller,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:02:47.300705+00:00,2/2/21,112,Did you take away any of the paper?,Teacher,,,1,,,,1,,,1,,S,,,,,,,,,1,,,1,,,,
2153,2021-02-02 19:02:54.895876+00:00,2/2/21,102,I don't think so,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:03:03.857615+00:00,2/2/21,102,but it took up less space,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:04:08.984750+00:00,2/2/21,112,Ok. we will come back to that. What happened in the water investigation to the amount of water?,Teacher,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
2153,2021-02-02 19:04:27.345273+00:00,2/2/21,102,the water was higher in the cup,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:04:48.548543+00:00,2/2/21,112,Yes. did the weight of the water change before or after it was frozen?,Teacher,,,1,1,,,1,,,,,S,,,,,,,1,,,,,,,,,
2153,2021-02-02 19:05:01.927079+00:00,2/2/21,102,I don't remember,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:05:01.927079+00:00,2/2/21,102,I don't remember,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:05:24.966929+00:00,2/2/21,112,Ok. do you think the amount of water changed?,Teacher,,,1,,,,1,,,1,,S,,,,,1,,,,1,,,1,,,,
2153,2021-02-02 19:05:28.501726+00:00,2/2/21,102,yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2153,2021-02-02 19:05:32.002105+00:00,2/2/21,112,why?,Teacher,,,1,,,,,,,,,G,,,,,1,,,,,,,,,G,,
2153,2021-02-02 19:05:57.937125+00:00,2/2/21,102," because when it froze it got fuller, so there has to be more",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 18:59:27.819205+00:00,2/2/21,114,Hi Charlie! Can you tell me something you observed about the changing paper investigation?,Teacher,,1,,,,,,1,,1,,,,"not yes/no, but can techincally be answered as yes/no. you-focused because of ""you observed""",,1,,,,,,1,,1,,,,
2154,2021-02-02 18:59:47.441852+00:00,2/2/21,104,I noticed that the balled up paper takes up more space than the flat paper,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:00:04.581734+00:00,2/2/21,104,and the torn paper takes up less space than the flat or balled paper,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:00:56.616244+00:00,2/2/21,114,You're right! Can you tell me how much each weighed?,Teacher,,,1,1,,,,,,,,S,,"not yes/no, but can techincally be answered as yes/no. not you focused because this question is equilvalent to ""tell me how much each weighed,"" not based on student's opinion, simply a matter of fact",,,1,1,,,,,,1,,S,,
2154,2021-02-02 19:01:05.156672+00:00,2/2/21,104,I do not remember,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:01:52.150434+00:00,2/2/21,114,That's ok! But you did remember that each form takes up a different amount of space. Do you think that the paper changed because of your reasoning?,Teacher,,,1,,,,1,1,,1,,S,R,not RP because the revoicing and press for reasoning occur in different sentences. RP if a single sentence is revoicing and press for reasoning,,,1,,,,1,1,,1,,G,RP,
2154,2021-02-02 19:02:26.918624+00:00,2/2/21,104,yes since the torn paper takes up less space,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:02:55.590524+00:00,2/2/21,114,Alright. Let's talk about the freezing water investigation now,Teacher,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,"is ""Alright"" telling?"
2154,2021-02-02 19:03:14.286330+00:00,2/2/21,114,What did you notice about the water when it was frozen?,Teacher,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,
2154,2021-02-02 19:03:30.261695+00:00,2/2/21,104,the frozen water takes up more space than the liquid water,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:03:39.170203+00:00,2/2/21,114,Why do you think that?,Teacher,,,1,,,,,,,1,,G,,,,,1,,,,,,,1,,G,,
2154,2021-02-02 19:04:02.563516+00:00,2/2/21,104,the water was about the line when frozen,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:04:11.737469+00:00,2/2/21,104,above,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:04:37.805137+00:00,2/2/21,114,Great observation! So what do you think this means? Did the matter of the water change?,Teacher,,,1,1,,,1,,,1,,S,,"you-focused because of ""what do you think,"" despite the elaborating question not being you-focused",,,,1,,,,,1,1,1,S,,
2154,2021-02-02 19:04:54.700453+00:00,2/2/21,104,yes because the volume and mass changed,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:05:11.792923+00:00,2/2/21,114,Great reasoning! Think about both investigations now,Teacher,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,
2154,2021-02-02 19:05:19.395616+00:00,2/2/21,104,okay,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:05:19.395616+00:00,2/2/21,104,okay,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2154,2021-02-02 19:05:25.838038+00:00,2/2/21,114,What do you think they mean about conservation of matter?,Teacher,,,1,,,,,,1,1,,S,,,,,1,,,,,,,1,,G,,
2154,2021-02-02 19:05:35.071104+00:00,2/2/21,114,Was the paper conserved? Was the water conserved?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2154,2021-02-02 19:05:46.905620+00:00,2/2/21,104," whenever something changes like volume or mass, the matter changes. so the matter increased",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:00:12.427145+00:00,2/2/21,118," Hi Charlie, Do you think the amount of matter changed in the 2 experiment we tried?",Teacher,,1,,,,,1,,,1,,,,,,1,,,,,1,,,1,,,,
2162,2021-02-02 19:00:54.559597+00:00,2/2/21,118," Can you tell me how you know that based on the ""Changing Paper Investigation?""",Teacher,,1,,,,,,,,1,,,,probing in advance?,,,1,,,,,,,1,,G,,
2162,2021-02-02 19:01:47.476032+00:00,2/2/21,108,The balled up paper took up more space than the flat paper and the frozen water took up more space than the liquid water.,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:02:08.296494+00:00,2/2/21,118,Does that mean the weight or matter changed between the different forms?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2162,2021-02-02 19:03:12.924508+00:00,2/2/21,108,I do not remember what the weight was for the paper or water.,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:03:32.216294+00:00,2/2/21,118," Did the volume or the space it took up change when the water became ice, or the paper when it was ripped up compared to when it was flat or crumpled?",Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2162,2021-02-02 19:03:50.699203+00:00,2/2/21,108,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:03:50.699203+00:00,2/2/21,108,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:04:48.651209+00:00,2/2/21,118,So if the volume changed but you don't remember the weight why do you think there is the same amount of matter between the forms?,Teacher,,,1,,,,,,,1,1,S,RP,teacher assumes student's claim about whether matter was conserved instead of eliciting it,,,1,,,,,,,1,1,G,RP,
2162,2021-02-02 19:05:07.959042+00:00,2/2/21,108," No, the matter changed",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2162,2021-02-02 19:05:47.095720+00:00,2/2/21,118," Ok, What evidence do you have to support you theory?",Teacher,,,1,,,,,1,,1,,G,,,,,1,1,,,,1,,1,,G,,
2165,2021-02-02 19:49:46.041737+00:00,2/2/21,104,Hi Dana! what did you notice when completing the paper experiment ?,Teacher,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,
2165,2021-02-02 19:50:06.810357+00:00,2/2/21,114,I noticed that the paper changed into three forms,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:50:26.583507+00:00,2/2/21,104,what did you notice about each papers weight?,Teacher,,,1,,,,,,,1,,S,,,,,1,,,,,,,1,,,,
2165,2021-02-02 19:50:38.681350+00:00,2/2/21,114,They all weighed 4.6 grams,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:50:57.446538+00:00,2/2/21,104,what do you think that means about the conservation of matter?,Teacher,,,1,,,,,,,1,,S,,bigger picture or not? general terms used but implicitly refers to paper experiment,,,1,,,,,,,1,,S,,
2165,2021-02-02 19:51:14.174649+00:00,2/2/21,114,I think that the water's matter was conserved,Student,,,,,,,,,,,,,,strange that student changed the topic...,,,,,,,,,,,,,,x
2165,2021-02-02 19:51:20.062548+00:00,2/2/21,104,why do you think that?,Teacher,,,1,,,,,,,1,,G,,,,,1,,,,,,,1,,S,,
2165,2021-02-02 19:51:21.977154+00:00,2/2/21,114,Paper,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:51:37.532787+00:00,2/2/21,114," I think because they all weighed the same, so the matter stays the same",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:52:01.546024+00:00,2/2/21,104,Great! lets move on to the water experiment! what did you notice about the water before and after freezing it?,Teacher,,1,,,,,,,,1,,,,,1,1,,1,,,,,,1,,,,
2165,2021-02-02 19:52:25.229039+00:00,2/2/21,114,The unfrozen water was 390.5 grams and the frozen was 390.5 grams,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:52:44.988365+00:00,2/2/21,104,Thats great! did you notice any difference of the water?,Teacher,,,1,1,,,,,,1,,S,,is this really evaluating?,,,1,1,,,,,,1,,G,,
2165,2021-02-02 19:53:05.679688+00:00,2/2/21,114,Yes the form of water,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:53:13.009411+00:00,2/2/21,114,No when talking about weight,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:53:30.085606+00:00,2/2/21,104,can you explain more ? did you notice a change in what the water looked like?,Teacher,,,1,,,,1,,,1,,S,,"first question is a general press, second question makes it a specific press",,,1,,,,,,,1,,S,,
2165,2021-02-02 19:53:48.419381+00:00,2/2/21,114,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:53:54.502086+00:00,2/2/21,114,the water froze,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:54:04.296492+00:00,2/2/21,114,but they both weighed 390.5 grams,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:54:10.988793+00:00,2/2/21,114,so maybe it didnt change,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:54:14.112423+00:00,2/2/21,104,did the water level change from where we marked it after being frozen?,Teacher,,,1,,,,1,,,,,S,,,,,,,,,1,,,,,,,
2165,2021-02-02 19:54:22.123205+00:00,2/2/21,114,I dont remember,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:54:45.773609+00:00,2/2/21,104,Thats okay! so the water did raise 1 cm about the bottle label but it still weighed the same,Teacher,,,,,1,,,,,,,,,"telling, but should this be considered negative? seems not. keep in mind for rubric",,,,,1,,,,,,,,,
2165,2021-02-02 19:54:54.901996+00:00,2/2/21,104,what does that tell you about its matter?,Teacher,,,1,,,,,,,1,,S,,is this really you focused?,,,1,,,,,,,1,,G,,
2165,2021-02-02 19:55:33.854575+00:00,2/2/21,104," so even if the volume or shape was different, the matter stayed the same? ",Teacher,,,1,,,,1,,,,,S,RP,"this would be hard for a classifier to label as RP i think, relies on previous few lines",,,1,,,,1,,,,,S,,
2165,2021-02-02 19:55:43.872807+00:00,2/2/21,114,Yes!,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:55:54.033283+00:00,2/2/21,104,thats great! can you explain why,Teacher,,,1,,,,,,,1,,G,,,,,1,1,,,,,,1,,G,,
2165,2021-02-02 19:55:55.691708+00:00,2/2/21,104,?,Teacher,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
2165,2021-02-02 19:56:12.574039+00:00,2/2/21,114,It stayed the same because it weighed the same,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:56:12.574039+00:00,2/2/21,114,It stayed the same because it weighed the same,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2165,2021-02-02 19:56:20.666992+00:00,2/2/21,104,what does that tell you about matter?,Teacher,,,1,,,,,,,1,,S,,,,,1,,,,,,,1,,S,,
2165,2021-02-02 19:56:26.047126+00:00,2/2/21,114,it was conserved,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:49:45.574893+00:00,2/2/21,102," So, lets talk about our matter conservation investigation",Teacher,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2168,2021-02-02 19:50:02.683347+00:00,2/2/21,112,ok,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:50:09.127129+00:00,2/2/21,102,We started with paper. What different things did we do to the peper to change it?,Teacher,,1,,,,,,,,,,,,"you focused? uses word ""we"". not asking about student's oppinion",,1,,,,,,,,,,,,
2168,2021-02-02 19:50:20.378952+00:00,2/2/21,112,we ripped it,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:50:26.183139+00:00,2/2/21,102," ok, what else?",Teacher,,,1,,,,,,,,,S,,,,,1,,,,,,,,,S,,"specific or general press for reasoning? since teacher is asking for more, I would assume specific... but seems a blurry line"
2168,2021-02-02 19:50:32.622730+00:00,2/2/21,112,crumpled it,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:51:16.620921+00:00,2/2/21,102,Did anything change about the paper when we ripped and crumpled it?,Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2168,2021-02-02 19:51:33.828516+00:00,2/2/21,112,no paper is paper,Student,,,,,,,,,,,,,,"seems like people are misinterpretting the student profiles. no where does it say the student thinks the paper is identical after changing it. This is also a clear violation of common sense. I get why the student said this, but seems very unrealistic. A real student probably would never say this give the question",,,,,,,,,,,,,,x
2168,2021-02-02 19:51:52.566491+00:00,2/2/21,102," So, was matter conserved when we changed the shape of the paper?",Teacher,,,1,,,,1,,,,,S,,,,,1,,,,1,,,,,S,,
2168,2021-02-02 19:52:06.777928+00:00,2/2/21,112,yes it was,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:52:30.633853+00:00,2/2/21,102," Ok, so what changes did you notice about the water after we put it in the freezer?",Teacher,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,
2168,2021-02-02 19:52:50.603484+00:00,2/2/21,112,the volume changed,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:53:05.569148+00:00,2/2/21,102,Why do you think the volume changed?,Teacher,,,1,,,,,,,1,,G,RP,,,,1,,,,,,,1,,G,RP,
2168,2021-02-02 19:53:16.408556+00:00,2/2/21,112,it got bigger after it froze,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:53:31.553985+00:00,2/2/21,102,ok. What else do we know about the water in the freezer?,Teacher,,,1,,,,,,,,,S,,,,,1,,,,,,,,,S,,
2168,2021-02-02 19:53:47.618911+00:00,2/2/21,112,it weighed the same,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:54:13.652443+00:00,2/2/21,102,Ok. Do you think matter was conserved with the water?,Teacher,,,1,,,,1,,,1,,S,,,,,1,,,,,,,,,S,,
2168,2021-02-02 19:54:23.125712+00:00,2/2/21,112,yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:54:35.274331+00:00,2/2/21,102," ok, how do you know?",Teacher,,,1,,,,,,,1,,G,,,,,1,,,,,,,1,,G,,general or specific?
2168,2021-02-02 19:55:01.527699+00:00,2/2/21,112,the weight stayed the same before it froze and after it froze,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:55:10.415237+00:00,2/2/21,102,What do both experiments tell us about conservation of matter and weight?,Teacher,,,1,,,,,,1,,,S,,,,,1,,,,,,1,,,S,,
2168,2021-02-02 19:55:28.744513+00:00,2/2/21,112,matter is conserved,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2168,2021-02-02 19:55:37.683666+00:00,2/2/21,112,you can't get rid of it,Student,,,,,,,,,,,,,,werid thing to say. in a real classroom the teacher would respond to this in some way,,,,,,,,,,,,,,x
